Basic Latin[g]	U+0000	U+007F
Latin-1 Supplement[h]	U+0080	U+00FF
Latin	U+0100	U+017F
Latin	U+0180	U+024F
Latin	U+0250	U+02AF
Spacing Modifier Letters	U+02B0	U+02FF
Inherited	U+0300	U+036F
Greek and Coptic	U+0370	U+03FF
Cyrillic	U+0400	U+04FF
Cyrillic	U+0500	U+052F
Armenian	U+0530	U+058F
Hebrew	U+0590	U+05FF
Arabic	U+0600	U+06FF
Syriac	U+0700	U+074F
Arabic	U+0750	U+077F
Thaana	U+0780	U+07BF
Nko	U+07C0	U+07FF
Samaritan	U+0800	U+083F
Mandaic	U+0840	U+085F
Arabic Extended-A	U+08A0	U+08FF
Devanagari	U+0900	U+097F
Bengali	U+0980	U+09FF
Gurmukhi	U+0A00	U+0A7F
Gujarati	U+0A80	U+0AFF
Oriya	U+0B00	U+0B7F
Tamil	U+0B80	U+0BFF
Telugu	U+0C00	U+0C7F
Kannada	U+0C80	U+0CFF
Malayalam	U+0D00	U+0D7F
Sinhala	U+0D80	U+0DFF
Thai	U+0E00	U+0E7F
Lao	U+0E80	U+0EFF
Tibetan	U+0F00	U+0FFF
Myanmar	U+1000	U+109F
Georgian	U+10A0	U+10FF
Hangul	U+1100	U+11FF
Ethiopic	U+1200	U+137F
Ethiopic	U+1380	U+139F
Cherokee	U+13A0	U+13FF
Canadian Aboriginal	U+1400	U+167F
Ogham	U+1680	U+169F
Runic	U+16A0	U+16FF
Tagalog	U+1700	U+171F
Hanunoo	U+1720	U+173F
Buhid	U+1740	U+175F
Tagbanwa	U+1760	U+177F
Khmer	U+1780	U+17FF
Mongolian	U+1800	U+18AF
Canadian Aboriginal	U+18B0	U+18FF
Limbu	U+1900	U+194F
Tai Le	U+1950	U+197F
New Tai Lue	U+1980	U+19DF
Khmer	U+19E0	U+19FF
Buginese	U+1A00	U+1A1F
Tai Tham	U+1A20	U+1AAF
Inherited	U+1AB0	U+1AFF
Balinese	U+1B00	U+1B7F
Sundanese	U+1B80	U+1BBF
Batak	U+1BC0	U+1BFF
Lepcha	U+1C00	U+1C4F
Ol Chiki	U+1C50	U+1C7F
Cyrillic	U+1C80	U+1C8F
Sundanese	U+1CC0	U+1CCF
Vedic Extensions	U+1CD0	U+1CFF
Phonetic Extensions	U+1D00	U+1D7F
Phonetic Extensions Supplement	U+1D80	U+1DBF
Inherited	U+1DC0	U+1DFF
Latin	U+1E00	U+1EFF
Greek	U+1F00	U+1FFF
General Punctuation	U+2000	U+206F
Superscripts and Subscripts	U+2070	U+209F
Common	U+20A0	U+20CF
Inherited	U+20D0	U+20FF
Letterlike Symbols	U+2100	U+214F
Number Forms	U+2150	U+218F
Common	U+2190	U+21FF
Common	U+2200	U+22FF
Common	U+2300	U+23FF
Common	U+2400	U+243F
Common	U+2440	U+245F
Common	U+2460	U+24FF
Common	U+2500	U+257F
Common	U+2580	U+259F
Common	U+25A0	U+25FF
Common	U+2600	U+26FF
Common	U+2700	U+27BF
Common	U+27C0	U+27EF
Common	U+27F0	U+27FF
Braille	U+2800	U+28FF
Common	U+2900	U+297F
Common	U+2980	U+29FF
Common	U+2A00	U+2AFF
Common	U+2B00	U+2BFF
Glagolitic	U+2C00	U+2C5F
Latin	U+2C60	U+2C7F
Coptic	U+2C80	U+2CFF
Georgian	U+2D00	U+2D2F
Tifinagh	U+2D30	U+2D7F
Ethiopic	U+2D80	U+2DDF
Cyrillic	U+2DE0	U+2DFF
Common	U+2E00	U+2E7F
Han	U+2E80	U+2EFF
Han	U+2F00	U+2FDF
Common	U+2FF0	U+2FFF
CJK Symbols and Punctuation	U+3000	U+303F
Hiragana	U+3040	U+309F
Katakana	U+30A0	U+30FF
Bopomofo	U+3100	U+312F
Hangul	U+3130	U+318F
Common	U+3190	U+319F
Bopomofo	U+31A0	U+31BF
Common	U+31C0	U+31EF
Katakana	U+31F0	U+31FF
Enclosed CJK Letters and Months	U+3200	U+32FF
CJK Compatibility	U+3300	U+33FF
Han	U+3400	U+4DBF
Common	U+4DC0	U+4DFF
Han	U+4E00	U+9FFF
Yi	U+A000	U+A48F
Yi	U+A490	U+A4CF
Lisu	U+A4D0	U+A4FF
Vai	U+A500	U+A63F
Cyrillic	U+A640	U+A69F
Bamum	U+A6A0	U+A6FF
Common	U+A700	U+A71F
Latin Extended-D	U+A720	U+A7FF
Syloti Nagri	U+A800	U+A82F
Common	U+A830	U+A83F
Phags Pa	U+A840	U+A87F
Saurashtra	U+A880	U+A8DF
Devanagari	U+A8E0	U+A8FF
Kayah Li	U+A900	U+A92F
Rejang	U+A930	U+A95F
Hangul	U+A960	U+A97F
Javanese	U+A980	U+A9DF
Myanmar	U+A9E0	U+A9FF
Cham	U+AA00	U+AA5F
Myanmar	U+AA60	U+AA7F
Tai Viet	U+AA80	U+AADF
Meetei Mayek	U+AAE0	U+AAFF
Ethiopic	U+AB00	U+AB2F
Latin Extended-E	U+AB30	U+AB6F
Cherokee	U+AB70	U+ABBF
Meetei Mayek	U+ABC0	U+ABFF
Hangul	U+AC00	U+D7AF
Hangul	U+D7B0	U+D7FF
Han	U+F900	U+FAFF
Alphabetic Presentation Forms	U+FB00	U+FB4F
Arabic Presentation Forms-A	U+FB50	U+FDFF
Inherited	U+FE00	U+FE0F
Common	U+FE10	U+FE1F
Combining Half Marks	U+FE20	U+FE2F
Common	U+FE30	U+FE4F
Common	U+FE50	U+FE6F
Arabic Presentation Forms-B	U+FE70	U+FEFF
Halfwidth and Fullwidth Forms	U+FF00	U+FFEF
Common	U+FFF0	U+FFFF
